rank,boxer,score
715,Alonzo Johnson,0.0001
716,Miguel Angel Paez,0.0001
717,James Summerville,0.0001
718,Cliff Field,0.0001
719,Graham Sines,0.0001
720,Johnny Frankham,0.0001
721,Eddie Brooks,0.0001
722,Lancer Johnson,0.0001
723,JD McCauley,0.0001
724,Hector Tanajara Jr,0.0001
725,Johnny Garcia,0.0001
726,Tomas Rojas,0.0001
727,Danny Green,0.0001
728,Javier Mendoza,0.0001
729,Luciano Cuello,0.0001
730,Liborio Solis,0.0001
731,Paul Samuels,0.0001
732,Sherman Williams,0.0001
733,Elijah Makathini,0.0001
734,Mohamed Mimoune,0.0001
735,Tony LaRosa,0.0001
736,Tue Bjørn Thomsen,0.0001
737,Luke Santamaria,0.0001
738,Matvey Korobov,0.0001
739,"John ""Dino"" Denis",0.0001
740,John Jordan,0.0001
741,Jimmy Wingfield,0.0001
742,Charlie Boston,0.0001
743,Paul Raymond,0.0001
744,Ray Anderson,0.0001
745,Doug Kirk,0.0001
746,Cliff McDonald,0.0001
747,Gary Dee,0.0001
748,Rodney Greene,0.0001
749,Terry Daniels,0.0001
750,Amos Johnson,0.0001
751,Gregorio Peralta,0.0001
752,Ba Sounkalo,0.0001
753,Rudy Clay,0.0001
754,Charley James,0.0001
755,Billy Ryan,0.0001
756,Eddie Jones,0.0001
757,Lonnie Bennett,0.0001
758,Al Migliorato,0.0001
759,Jeff Merritt,0.0001
760,Starling Castillo,0.0001
761,Xavier Martinez,0.0001
762,Anthony Fowler,0.0001
763,Reynaldo Cajina,0.0001
764,Yohei Tobe,0.0001
765,Yota Sato,0.0001
766,Jason Gavern,0.0001
767,Lucas Browne,0.0001
768,Jonathan Taconing,0.0001
769,Meldrick Taylor,0.0001
770,Jose Argumedo,0.0001
771,Ahmed El Mousaoui,0.0001
772,Ulises Solis,0.0001
773,Carlos de Leon,0.0001
774,Sharmba Mitchell,0.0001
775,Henry Bruseles,0.0001
776,Joe Smith Jr,0.0001
777,Gene Fullmer,0.0001
778,Lorenzo Trejo,0.0001
779,Eckhard Dagge,0.0001
780,Loucif Hamani,0.0001
781,Carlos Molina,0.0001
782,Keith McKnight,0.0001
783,Tony Halme,0.0001
784,Thomas Williams,0.0001
785,Joey Guy,0.0001
786,Glenn Donaire,0.0001
787,Richard Andrews,0.0001
788,Jonathan Garcia,0.0001
789,Jas Phipps,0.0001
790,Mike Gavronski,0.0001
791,"Roy ""Cookie"" Wallace",0.0001
792,Daniel Rosas,0.0001
793,Israel Gonzalez,0.0001
794,Ernesto Mercado,0.0001
795,Peter Manfredo Jr,0.0001
796,Sebastian Zbik,0.0001
797,Mark Barriga,0.0001
798,Zhora Hamazaryan,0.0001
799,Alan Minter,0.0001
800,Mayfield Pennington,0.0001
801,Joel Bonnetaz,0.0001
802,Conor Benn,0.0001
803,Jordy Weiss,0.0001
804,Gabriel Maestre,0.0001
805,Gerardo Cuevas,0.0001
806,Jesus Tavera,0.0001
807,Guillermo Ibarra,0.0001
808,Luis Torres,0.0001
809,Nathan Butcher,0.0001
810,Nkosinathi Joyi,0.0001
811,Sena Agbeko,0.0001
812,Ignacio Madrid,0.0001
813,Joe Bugner,0.0001
814,Andy Cruz,0.0001
815,Denis Radovan,0.0001
816,Jonatan Romero,0.0001
817,Charles Ellis,0.0001
818,Juan Jose Landaeta,0.0001
819,Marco Antonio Rubio,0.0001
820,Akihisa Someya,0.0001
821,Santos Cardona,0.0001
822,Tony Martin,0.0001
823,Eric Aiken,0.0001
824,Yori Boy Campas,0.0001
825,Bob Hazelton,0.0001
826,Mustafa Wassaja,0.0001
827,Lerdchai Chaiyawed,0.0001
828,Jorge Arce,0.0001
829,Vlad Panin,0.0001
830,Francisco Javier Castro,0.0001
831,Noe Bolanos,0.0001
832,Ronald Cruz,0.0001
833,Raymond Charles,0.0001
834,Peter Olouch,0.0001
835,Ahmed Elbiali,0.0001
836,Marcus McDaniel,0.0001
837,"Clifford ""Randy"" Stephens",0.0001
838,Bill Cunningham,0.0001
839,Robert Blackwell,0.0001
840,Johnny Hudson,0.0001
841,Boston Almon,0.0001
842,Ron Gentry,0.0001
843,Eddie Lopez,0.0001
844,Romulo Koasicha,0.0001
845,Giovanni Caro,0.0001
846,Juan Carlos Reveco,0.0001
847,Zine Eddine Benmakhlouf,0.0001
848,Mauro Gutierrez,0.0001
849,Nessim Max Cohen,0.0001
850,Artem Karasev,0.0001
851,Oba Carr,0.0001
852,Carl Griffith,0.0001
853,Charles Murray,0.0001
854,Dwight Muhammad Qawi,0.0001
855,Rocky Sekorski,0.0001
856,Sanhajate Kaewpoon,0.0001
857,Phongsaphon Panyakum,0.0001
858,Naoki Mochizuki,0.0001
859,Tibo Monabesa,0.0001
860,Virgilijus Stapulionis,0.0001
861,Phil Lo Greco,0.0001
