rank,boxer,score
333,Omar Amaya,0.0005
334,Alfredo Layne,0.0005
335,Jacinto Fuentes,0.0005
336,Sherman Williams,0.0005
337,Nikolai Valuev,0.0005
338,Sultan Ibragimov,0.0005
339,Larry Donald,0.0005
340,Michael Moorer,0.0005
341,Riddick Bowe,0.0005
342,Joseph Parker,0.0005
343,Jerry Forrest,0.0005
344,Ryosuke Iwasa,0.0005
345,David Sanchez,0.0005
346,Brix Ray,0.0005
347,Greg Haugen,0.0005
348,Jorge Vaca,0.0005
349,Yori Boy Campas,0.0005
350,Saul Duran,0.0005
351,Chris Walsh,0.0005
352,Sal Lopez,0.0005
353,Cesar Najera,0.0005
354,Junior Jones,0.0005
355,Donnie Nietes,0.0005
356,Felix Sturm,0.0004
357,Leotis Martin,0.0004
358,Cassius Clay,0.0004
359,Marty Marshall,0.0004
360,Donato Paduano,0.0004
361,Rafael Gutierrez,0.0004
362,Curtis Cokes,0.0004
363,Jose Gonzalez,0.0004
364,Vicente Rondon,0.0004
365,Mike Lankester,0.0004
366,Bunny Sterling,0.0004
367,Percy Manning,0.0004
368,Juan Nazario,0.0004
369,Akinobu Hiranaka,0.0004
370,Tom Bethea,0.0004
371,Doyle Baird,0.0004
372,Jose Chirino,0.0004
373,Kim Ki-Soo,0.0004
374,Billy Lyell,0.0004
375,"Julio Cesar Chavez, Jr",0.0004
376,Hamzah Sheeraz,0.0004
377,Derek Edwards,0.0004
378,Noel Mikaelian,0.0004
379,Marco Antonio Periban,0.0004
380,Jose Luis Varela,0.0004
381,Alexandro Santiago,0.0004
382,Francisco Rodriguez Jr,0.0004
383,Josh Taylor,0.0004
384,Jeff Fenech,0.0004
385,Jesse James Leija,0.0004
386,Dan Azeez,0.0004
387,Tenshin Nasukawa,0.0004
388,Buster Douglas,0.0004
389,Andrew Golota,0.0004
390,Kevin McBride,0.0004
391,Danny Williams,0.0004
392,Orlin Norris,0.0004
393,Peter Quillin,0.0004
394,Kazuto Ioka,0.0004
395,Takashi Okada,0.0004
396,Michał Cieslak,0.0004
397,Michael Eifert,0.0004
398,Roberto Bolonti,0.0004
399,Randy Sandy,0.0004
400,Zolani Tete,0.0004
401,Carlos Bojorquez,0.0004
402,Andrey Pestryayev,0.0004
403,Omar Gonzalez,0.0004
404,William Joppy,0.0004
405,Jorge Castro,0.0004
406,Kirkland Laing,0.0004
407,Esteban de Jesus,0.0004
408,Daniel Roman,0.0004
409,Kosei Tanaka,0.0004
410,Gabriel Campillo,0.0004
411,Edgar Sosa,0.0004
412,Tommy Karpency,0.0004
413,Aundalen Sloan,0.0004
414,Scott LeDoux,0.0003
415,Yoshiki Takei,0.0003
416,Jose Ramirez,0.0003
417,Charles Ellis,0.0003
418,Jason Gavern,0.0003
419,Lucas Browne,0.0003
420,Samuel Peter,0.0003
421,Drake Thadzi,0.0003
422,Sanderline Williams,0.0003
423,Moises Flores,0.0003
424,Omar Nino Romero,0.0003
425,Doug Jones,0.0003
426,Juan Hernandez,0.0003
427,Luis Concepcion,0.0003
428,Jack Arnfield,0.0003
429,Nicholas Walters,0.0003
430,Seiya Tsutsumi,0.0003
431,Carl Frampton,0.0003
432,Jessie Magdaleno,0.0003
433,Rosendo Sanchez,0.0003
434,Lamont Peterson,0.0003
435,Keyshawn Davis,0.0003
436,Brian Norman Jr,0.0003
437,Armando Resendiz,0.0003
438,Alberto Rossel,0.0003
439,Artem Dalakian,0.0003
440,Carlos Tamara,0.0003
441,Anthony Pettis,0.0003
442,Scott Sigmon,0.0003
443,Vyron Phillips,0.0003
444,Enzo Maccarinelli,0.0003
445,Willie Williams,0.0003
446,Zine Eddine Benmakhlouf,0.0003
447,Danny Green,0.0003
448,Tony Thornton,0.0003
449,Thomas Tate,0.0003
450,Thulani Malinga,0.0003
451,Tony Waddles,0.0003
452,Stephan Johnson,0.0003
453,Bernardo Mercado,0.0003
454,Jody Ballard,0.0003
455,David Avanesyan,0.0003
